DEBUG 2022-04-14 17:26:34,960 - sent broadcast '192.168.1.105,48:e7:da:56:b5:fe,5000,LAPTOP-4DTAK9D6,up'
DEBUG 2022-04-14 17:26:34,960 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:26:35,217 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:26:35,510 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:26:35,777 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:26:36,042 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:26:36,297 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:26:36,553 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:26:36,808 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:26:37,060 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:26:37,312 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:26:37,567 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:26:37,821 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:26:38,085 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:26:38,349 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:26:38,614 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:26:38,876 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:26:39,133 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:26:39,386 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:26:39,638 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:26:39,892 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:26:40,147 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:26:40,404 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:26:40,657 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:26:40,909 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:26:41,164 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:26:41,415 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:26:41,670 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:26:41,935 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:26:42,189 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:26:42,440 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:26:42,693 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:26:42,947 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:26:43,197 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:26:43,452 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:26:43,713 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:26:43,980 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:26:44,235 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:26:44,494 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:26:44,749 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:26:45,006 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:26:45,267 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:26:45,533 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:26:45,793 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:26:46,058 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:26:46,310 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:26:46,569 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:26:46,824 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:26:47,082 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:26:47,343 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:26:47,615 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:26:47,868 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:26:48,128 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:26:48,393 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:26:48,651 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:26:48,913 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:26:49,174 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:26:49,436 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:26:49,702 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:26:49,961 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:26:50,219 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:26:50,482 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:26:50,750 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:26:51,013 - sent broadcast 'who is up'
